shapeid,x,y,Traffic,Train,Industrial
54.0,13997.7508859,-2320.61597728,71,0,0
55.0,13996.5745387,-2200.06820654,71,0,0
55.0,13996.5109597,-2277.96831958,71,0,0
56.0,13996.1895787,-2117.36477167,71,0,0
56.0,13996.5745387,-2200.06820654,71,0,0
57.0,13998.293042,-2069.46773325,71,0,0
57.0,13996.1895787,-2117.36477167,71,0,0
58.0,13739.5978707,-2297.71587448,70,0,0
58.0,13713.6646507,-2329.74692646,70,0,0
58.0,13703.7356568,-2345.75858855,70,0,0
59.0,14161.4902093,-1920.31559104,62,0,0
59.0,14114.730182,-1978.63762291,62,0,0
60.0,14114.730182,-1978.63762291,62,0,0
60.0,14072.0252487,-2035.28789535,62,0,0
61.0,13992.7553433,-1972.09288075,62,0,0
61.0,14072.0252487,-2035.28789535,62,0,0
62.0,14199.4396051,-1869.55333491,62,0,0
62.0,14161.4902093,-1920.31559104,62,0,0
63.0,14072.0252487,-2035.28789535,62,0,0
63.0,14026.3198022,-2094.32960733,62,0,0
63.0,14017.0941248,-2116.66277975,62,0,0
64.0,16574.1298891,-4905.96666588,59,0,0
64.0,16555.7897294,-4915.22411312,59,0,0
64.0,16535.0560525,-4903.26279728,59,0,0
64.0,16530.3833943,-4902.00225927,59,0,0
64.0,16494.0861588,-4915.10687173,59,0,0
64.0,16432.4003672,-4937.70615484,59,0,0
64.0,16418.1111161,-4941.6990448,59,0,0
64.0,16398.6818153,-4940.6461391,59,0,0
65.0,14278.8335327,-3510.09794009,63,0,0
65.0,14259.2803636,-3518.0245445,63,0,0
65.0,14257.3154523,-3531.70840346,63,0,0
66.0,14112.7829785,-2082.25306274,66,0,0
66.0,14136.4669293,-2054.81977874,66,0,0
66.0,14167.1092053,-2021.32003287,66,0,0
67.0,13727.0653564,-1674.88874848,70,0,0
67.0,13726.6901173,-1805.51408886,70,0,0
68.0,13726.922718,-1609.26938724,70,0,0
68.0,13727.0653564,-1674.88874848,70,0,0
69.0,13726.6901173,-1805.51408886,70,0,0
69.0,13725.6256563,-1861.46449428,70,0,0
70.0,13727.0653564,-1674.88874848,70,0,0
70.0,13793.7763527,-1673.08311999,70,0,0
71.0,13726.922718,-1609.26938724,70,0,0
71.0,13793.7763527,-1673.08311999,70,0,0
72.0,16719.7699781,-4986.14081527,64,0,0
72.0,16719.5800617,-5058.26052392,64,0,0
73.0,13861.6529727,-1669.820979,65,0,0
73.0,13995.3783244,-1668.54213498,65,0,0
74.0,13793.7763527,-1673.08311999,65,0,0
74.0,13861.6529727,-1669.820979,65,0,0
75.0,14190.8322043,-1719.11481308,65,0,0
75.0,14178.7520092,-1734.81081822,65,0,0
75.0,14120.6740225,-1808.14988523,65,0,0
76.0,14357.4876779,-1972.0864779,72,0,0
76.0,14341.4365819,-1982.9987996,72,0,0
76.0,14283.2744395,-2032.24101394,72,0,0
77.0,14437.691787,-2218.1670279,72,0,0
77.0,14405.6254511,-2251.80305881,72,0,0
78.0,15078.9267287,-4086.85840627,65,0,0
78.0,15182.4607459,-4081.74596023,65,0,0
79.0,14330.4906744,-1905.75054072,69,0,0
79.0,14370.9830808,-1900.213179,69,0,0
79.0,14410.1997975,-1871.14389882,69,0,0
80.0,14541.7049271,-1886.64184066,59,0,0
80.0,14502.8062792,-1869.13183459,59,0,0
80.0,14475.3007149,-1857.75233248,59,0,0
80.0,14449.6416937,-1845.1905901,59,0,0
81.0,15419.3185417,130.014018751,52,0,0
81.0,15456.3868999,129.766009218,52,0,0
82.0,14361.8396031,-1817.67286643,59,0,0
82.0,14410.1997975,-1871.14389882,59,0,0
83.0,14405.7645439,-1578.67201132,56,0,0
83.0,14342.2252322,-1643.69193994,56,0,0
84.0,14342.2252322,-1643.69193994,69,0,0
84.0,14391.1921176,-1696.48111418,69,0,0
85.0,16019.686061,-1434.1373072,72,0,59
85.0,15991.6996104,-1549.54093655,72,0,59
86.0,13248.8927313,-4766.65305411,73,0,0
86.0,13279.5601382,-4739.43396812,73,0,0
86.0,13310.0475097,-4731.48354567,73,0,0
87.0,13283.385399,-4674.55995926,66,0,0
87.0,13310.0475097,-4731.48354567,66,0,0
88.0,13250.192381,-2654.93331352,58,0,0
88.0,13245.5635777,-2657.03292518,58,0,0
88.0,13204.5743366,-2648.53673753,58,0,0
89.0,13318.0827761,-2623.81367068,58,0,0
89.0,13312.0187909,-2626.2686077,58,0,0
89.0,13250.192381,-2654.93331352,58,0,0
90.0,15456.3868999,129.766009218,52,0,0
90.0,15499.9719756,128.923465772,52,0,0
91.0,8379.0154042,534.43456123,60,0,0
91.0,8352.9828441,533.318336569,60,0,0
91.0,8340.58505575,541.716435356,60,0,0
92.0,8053.70525961,-2754.65569683,70,0,0
92.0,8088.25902529,-2825.7639264,70,0,0
93.0,8617.62317406,-1668.10903712,60,0,0
93.0,8611.16058522,-1619.148112,60,0,0
94.0,8648.98738827,-1736.54145116,65,0,0
94.0,8640.97756766,-1664.96297253,65,0,0
95.0,8617.62317406,-1668.10903712,62,0,0
95.0,8640.97756766,-1664.96297253,62,0,0
96.0,8594.55773672,-1671.30996616,62,0,0
96.0,8617.62317406,-1668.10903712,62,0,0
97.0,8624.72269078,-1734.23206536,61,0,0
97.0,8617.62317406,-1668.10903712,61,0,0
98.0,7979.07219803,-2022.16127019,65,0,0
98.0,8088.03601152,-2006.06709658,65,0,0
99.0,8088.03601152,-2006.06709658,65,0,0
99.0,8125.06051668,-2001.4273409,65,0,0
100.0,8196.46953525,-2031.59060322,65,0,0
100.0,8258.49872352,-2022.14506735,65,0,0
101.0,8131.42308975,-2039.74968566,64,0,0
101.0,8196.46953525,-2031.59060322,64,0,0
102.0,8093.14695696,-2044.762312,65,42,0
102.0,8131.42308975,-2039.74968566,65,42,0
103.0,8258.49872352,-2022.14506735,67,0,0
103.0,8323.49476387,-2014.03455631,67,0,0
104.0,7998.34618432,-2060.62372089,66,0,0
104.0,8018.27994387,-2056.20494841,66,0,0
104.0,8093.14695696,-2044.762312,66,0,0
105.0,8263.26416917,-2056.96534236,68,0,0
105.0,8328.26020879,-2048.85483201,68,0,0
106.0,8201.25789698,-2065.55555958,66,0,0
106.0,8263.26416917,-2056.96534236,66,0,0
107.0,8136.50406246,-2074.33534892,65,0,0
107.0,8201.25789698,-2065.55555958,65,0,0
108.0,8136.50406246,-2074.33534892,65,0,0
108.0,8098.3356835,-2080.0218426,65,0,0
109.0,8098.3356835,-2080.0218426,66,0,0
109.0,8012.60293305,-2090.46407342,66,0,0
110.0,8125.06051668,-2001.4273409,63,0,0
110.0,8190.07972743,-1992.447365,63,0,0
111.0,8190.07972743,-1992.447365,65,0,0
111.0,8253.36486128,-1984.30517126,65,0,0
112.0,8253.36486128,-1984.30517126,66,0,0
112.0,8317.53543157,-1975.32362693,66,0,0
113.0,8115.30810152,-1926.94523354,66,0,0
113.0,8125.06051668,-2001.4273409,66,0,0
114.0,8131.42308975,-2039.74968566,66,0,0
114.0,8136.50406246,-2074.33534892,66,0,0
115.0,8125.06051668,-2001.4273409,65,43,0
115.0,8131.42308975,-2039.74968566,65,43,0
116.0,6443.9476339,-2208.46034083,58,0,0
116.0,6456.40251385,-2207.66551753,58,0,0
116.0,6528.41136829,-2173.7437214,58,0,0
117.0,6430.13406339,-2177.22081021,59,0,0
117.0,6526.12692796,-2131.74150909,59,0,0
118.0,6411.28662876,-2137.11134494,58,0,0
118.0,6522.36672288,-2086.93962855,58,0,0
119.0,6393.35212285,-2097.733087,58,0,0
119.0,6490.12502013,-2054.43234515,58,0,0
120.0,8098.3356835,-2080.0218426,65,43,0
120.0,8113.17863182,-2179.78971922,65,43,0
121.0,8098.3356835,-2080.0218426,65,0,0
121.0,8093.14695696,-2044.762312,65,0,0
122.0,8088.03601152,-2006.06709658,65,0,0
122.0,8093.14695696,-2044.762312,65,0,0
123.0,8076.9196382,-1930.38573014,67,0,0
123.0,8088.03601152,-2006.06709658,67,0,0
124.0,7772.31625992,-1944.88649696,66,0,0
124.0,7797.65616417,-2013.24978079,66,0,0
124.0,7751.1516096,-2031.42714408,66,0,0
124.0,7744.55004425,-2043.81577069,66,0,0
125.0,10470.4931275,59.9279357544,73,0,0
125.0,10465.6865642,212.057068688,73,0,0
126.0,10490.1503978,212.480972693,77,0,0
126.0,10544.1138945,203.419180759,77,0,0
127.0,10490.1503978,212.480972693,77,0,0
127.0,10465.6865642,212.057068688,77,0,0
128.0,10325.2678536,-311.032912793,73,0,0
128.0,10320.5065475,-443.635057451,73,0,0
129.0,10303.9994079,-1111.56892606,73,0,0
129.0,10300.4727143,-1247.77252388,73,0,0
130.0,12274.5343717,-726.433589725,72,0,0
130.0,12274.8739753,-860.46686631,72,0,0
131.0,10500.6827702,-1050.6909069,67,0,0
131.0,10305.633664,-1047.76469487,67,0,0
132.0,9589.95597061,-1374.12208214,73,0,0
132.0,9589.11163505,-1508.31024345,73,0,0
133.0,9467.2738918,126.344100143,70,0,0
133.0,9599.85366348,125.338594918,70,0,0
134.0,11196.2970443,-901.872508554,74,0,0
134.0,11063.7071191,-969.772148821,74,0,0
135.0,9867.06826359,-158.661493469,74,0,0
135.0,9865.86282692,-305.474077386,74,0,0
136.0,10329.4743204,-161.800602725,73,0,0
136.0,10325.2678536,-311.032912793,73,0,0
137.0,9662.23848958,-438.311423762,73,0,0
137.0,9730.28870251,-438.659356763,73,0,0
138.0,8295.01137029,-2465.21430139,65,48,0
138.0,8386.31180219,-2420.68771996,65,48,0
139.0,8931.54635591,223.643693377,63,0,0
139.0,8798.30942136,167.3970267,63,0,0
140.0,8978.15605109,-1367.86265774,72,0,0
140.0,9054.09793779,-1368.64670666,72,0,0
141.0,8919.85518081,-1367.31337006,73,0,0
141.0,8978.15605109,-1367.86265774,73,0,0
142.0,9994.78180412,-841.35281324,69,0,0
142.0,9994.39334057,-973.837917881,69,0,0
143.0,8790.20079833,-964.323508974,70,0,0
143.0,8922.49672279,-966.14413853,70,0,0
144.0,9597.10577124,-437.762914676,73,0,0
144.0,9662.23848958,-438.311423762,73,0,0
145.0,10132.912619,-441.801675103,73,0,0
145.0,10320.5065475,-443.635057451,73,0,0
146.0,13734.0552768,-1004.9327333,65,0,0
146.0,13868.3987165,-1005.79409383,65,0,0
147.0,15624.7901771,-4135.58936953,61,0,0
147.0,15594.2039027,-4200.43454824,61,0,0
148.0,13600.4604556,-1003.36386278,65,0,0
148.0,13734.0552768,-1004.9327333,65,0,0
149.0,10816.8659925,-4843.0370732,58,0,0
149.0,10817.2200182,-4839.19630702,58,0,0
149.0,10821.4881253,-4834.80566016,58,0,0
149.0,10830.7737501,-4826.8020587,58,0,0
149.0,10840.9226862,-4816.4805878,58,0,0
149.0,10854.7706053,-4800.03936285,58,0,0
149.0,10860.8336782,-4791.90535572,58,0,0
149.0,10861.5867563,-4784.84700986,58,0,0
150.0,13789.5741311,-1153.41112472,62,0,0
150.0,13860.3577218,-1195.57863597,62,0,0
150.0,13868.3017636,-1196.24203441,62,0,0
151.0,13868.3017636,-1196.24203441,62,0,0
151.0,13876.9821124,-1199.91771545,62,0,0
151.0,13970.1729811,-1254.94743742,62,0,0
151.0,13998.7339227,-1266.24040422,62,0,0
152.0,13868.3987165,-1005.79409383,70,0,0
152.0,13868.0130008,-1140.80406158,70,0,0
153.0,13868.0130008,-1140.80406158,70,0,0
153.0,13868.3017636,-1196.24203441,70,0,0
154.0,13867.8038004,-881.728014266,70,0,0
154.0,13868.3987165,-1005.79409383,70,0,0
155.0,12015.4836962,-993.353502536,70,0,0
155.0,12144.2738779,-1127.19131835,70,0,0
156.0,13998.7339227,-1266.24040422,64,0,0
156.0,14020.3510769,-1276.32271206,64,0,0
156.0,14132.5253874,-1273.23029819,64,0,0
157.0,14132.5253874,-1273.23029819,64,0,0
157.0,14151.3347661,-1273.76959147,64,0,0
158.0,13998.7339227,-1266.24040422,71,0,0
158.0,13996.6446672,-1495.90973731,71,0,0
158.0,13992.4300875,-1519.17732084,71,0,0
159.0,13999.4758624,-1143.69133285,71,0,0
159.0,13998.7339227,-1266.24040422,71,0,0
160.0,12302.7120862,103.869027323,53,0,0
160.0,12355.3582428,105.397633066,53,0,0
160.0,12305.2059804,163.682711881,53,0,0
160.0,12302.7120862,103.869027323,53,0,0
161.0,12627.399209,-4019.02378289,57,0,0
161.0,12608.279026,-4009.29889744,57,0,0
161.0,12547.3602149,-4002.70382137,57,0,0
162.0,13865.4768794,-1272.40073074,70,0,0
162.0,13864.8724578,-1347.04464496,70,0,0
162.0,13863.0121272,-1386.01388111,70,0,0
163.0,10317.7067409,-576.485702385,73,0,0
163.0,10314.3037677,-709.445403254,73,0,0
164.0,13865.4768794,-1272.40073074,64,0,0
164.0,13991.4108395,-1276.72736616,64,0,0
164.0,13998.7339227,-1266.24040422,64,0,0
165.0,13868.3017636,-1196.24203441,70,0,0
165.0,13865.4768794,-1272.40073074,70,0,0
166.0,8579.93145307,-3318.40910436,70,0,0
166.0,8582.82837984,-3339.55940406,70,0,0
167.0,14222.9126255,-1231.04187955,75,0,0
167.0,14260.7091381,-1272.16707483,75,0,0
168.0,16234.8534761,-1856.11575737,62,0,0
168.0,16308.9390565,-1804.76386267,62,0,0
169.0,16279.6658956,-1914.79700896,62,0,0
169.0,16357.1562738,-1859.84472129,62,0,0
170.0,13737.3325912,-604.567388358,64,0,0
170.0,13738.2365233,-688.270542843,64,0,0
170.0,13732.1658108,-736.532584152,64,0,0
171.0,14382.441494,-1412.09781092,75,0,0
171.0,14415.241978,-1443.45558786,75,0,0
172.0,14131.9629241,-1410.91032001,65,0,0
172.0,14131.0911086,-1532.07081589,65,0,0
173.0,14132.7772179,-1336.00861971,65,0,0
173.0,14131.9629241,-1410.91032001,65,0,0
174.0,14132.5253874,-1273.23029819,65,0,0
174.0,14132.4386852,-1297.76953837,65,0,0
174.0,14132.7772179,-1336.00861971,65,0,0
175.0,14131.0911086,-1532.07081589,65,0,0
175.0,14133.0673379,-1588.42406947,65,0,0
176.0,14144.212006,-1146.27278139,65,0,0
176.0,14134.3725638,-1167.37815718,65,0,0
176.0,14133.7822707,-1254.24325364,65,0,0
176.0,14132.5253874,-1273.23029819,65,0,0
177.0,13729.0847332,-1412.33196673,70,0,0
177.0,13728.5937701,-1536.98615482,70,0,0
178.0,13728.5937701,-1536.98615482,70,0,0
178.0,13726.922718,-1609.26938724,70,0,0
179.0,13730.8188813,-1344.27912822,70,0,0
179.0,13729.0847332,-1412.33196673,70,0,0
180.0,14131.0911086,-1532.07081589,68,0,0
180.0,14011.0028687,-1538.22041909,68,0,0
181.0,13596.9829585,-1414.15715131,70,0,0
181.0,13729.0847332,-1412.33196673,70,0,0
182.0,13639.1438459,-1539.63659707,70,0,0
182.0,13728.5937701,-1536.98615482,70,0,0
183.0,13728.5937701,-1536.98615482,70,0,0
183.0,13864.3018226,-1536.33809787,70,0,0
184.0,13639.1438459,-1539.63659707,70,0,0
184.0,13726.922718,-1609.26938724,70,0,0
185.0,13339.148351,-1632.21590473,77,0,0
185.0,13357.2187848,-1649.74330777,77,0,0
186.0,13357.2187848,-1649.74330777,77,0,0
186.0,13388.0061886,-1679.05526793,77,0,0
187.0,13290.947099,-1582.38297888,75,0,0
187.0,13339.148351,-1632.21590473,75,0,0
188.0,13388.0061886,-1679.05526793,77,0,0
188.0,13448.6843102,-1731.48847715,77,0,0
189.0,13254.4657218,-1537.83793844,75,0,0
189.0,13290.947099,-1582.38297888,75,0,0
190.0,13448.6843102,-1731.48847715,77,0,0
190.0,13481.8028158,-1759.04018227,77,0,0
191.0,13481.8028158,-1759.04018227,77,0,0
191.0,13538.3772878,-1800.11001992,77,0,0
192.0,13460.4924936,-1671.67048154,72,0,0
192.0,13593.7772855,-1673.17703338,72,0,0
193.0,13593.7772855,-1673.17703338,72,0,0
193.0,13659.887352,-1673.26980499,72,0,0
194.0,13659.887352,-1673.26980499,72,0,0
194.0,13727.0653564,-1674.88874848,72,0,0
195.0,13593.7772855,-1673.17703338,68,0,0
195.0,13592.4694838,-1808.71450012,68,0,0
196.0,13594.5551147,-1538.76132619,68,0,0
196.0,13593.7772855,-1673.17703338,68,0,0
197.0,13460.4924936,-1671.67048154,72,0,0
197.0,13459.2507841,-1702.05833811,72,0,0
198.0,13461.8591841,-1565.03149179,72,0,0
198.0,13460.4924936,-1671.67048154,72,0,0
199.0,13459.2507841,-1702.05833811,77,0,0
199.0,13458.9217546,-1721.73443352,77,0,0
199.0,13448.6843102,-1731.48847715,77,0,0
200.0,13459.2507841,-1702.05833811,64,0,0
200.0,13469.8517842,-1702.07785486,64,0,0
200.0,13507.3575561,-1710.40345695,64,0,0
200.0,13553.4666784,-1732.67227728,64,0,0
200.0,13551.3168885,-1757.86639907,64,0,0
201.0,13388.0061886,-1679.05526793,65,0,0
201.0,13415.4944071,-1627.59714162,65,0,0
201.0,13447.141292,-1564.67405316,65,0,0
202.0,13385.1345778,-1616.44059612,65,0,0
202.0,13412.058651,-1565.27613438,65,0,0
203.0,13997.2509106,-1808.01411566,69,0,0
203.0,13997.1107503,-1876.68346933,69,0,0
204.0,13995.3783244,-1668.54213498,69,0,0
204.0,13997.2509106,-1808.01411566,69,0,0
205.0,13995.3783244,-1668.54213498,65,0,0
205.0,14112.3668164,-1788.90792223,65,0,0
205.0,14120.6740225,-1808.14988523,65,0,0
206.0,14011.0028687,-1538.22041909,69,0,0
206.0,13996.7528713,-1559.1875291,69,0,0
206.0,13995.3783244,-1668.54213498,69,0,0
207.0,13992.7553433,-1972.09288075,69,0,0
207.0,13998.293042,-2069.46773325,69,0,0
208.0,13992.7553433,-1972.09288075,70,0,0
208.0,13946.3292985,-2032.62057774,70,0,0
209.0,13781.0041378,-1904.10344397,60,0,0
209.0,13863.4743281,-1967.86692534,60,0,0
210.0,13827.4731244,-1845.07586833,60,0,0
210.0,13781.0041378,-1904.10344397,60,0,0
211.0,13781.0041378,-1904.10344397,60,0,0
211.0,13734.1209091,-1964.11347062,60,0,0
212.0,13827.4731244,-1845.07586833,60,0,0
212.0,13909.4465891,-1908.92916084,60,0,0
213.0,13725.6256563,-1861.46449428,60,0,0
213.0,13781.0041378,-1904.10344397,60,0,0
214.0,13817.2893089,-2027.98181688,60,0,0
214.0,13771.8283083,-2086.42692091,60,0,0
215.0,13771.8283083,-2086.42692091,60,0,0
215.0,13721.2688753,-2149.03511766,60,0,0
216.0,13721.2688753,-2149.03511766,60,0,0
216.0,13690.1682266,-2187.80937238,60,0,0
216.0,13682.9742364,-2192.85305743,60,0,0
217.0,13863.4743281,-1967.86692534,60,0,0
217.0,13817.2893089,-2027.98181688,60,0,0
218.0,13909.4465891,-1908.92916084,60,0,0
218.0,13863.4743281,-1967.86692534,60,0,0
219.0,13962.135234,-1841.71390021,60,0,0
219.0,13909.4465891,-1908.92916084,60,0,0
220.0,13962.135234,-1841.71390021,72,0,0
220.0,13997.1107503,-1876.68346933,72,0,0
221.0,13926.5159753,-1807.51744173,72,0,0
221.0,13962.135234,-1841.71390021,72,0,0
222.0,13721.2688753,-2149.03511766,70,0,0
222.0,13805.1717577,-2212.95950195,70,0,0
223.0,13670.0743005,-2113.80761204,70,0,0
223.0,13686.0719617,-2122.58356261,70,0,0
223.0,13721.2688753,-2149.03511766,70,0,0
224.0,13805.1717577,-2212.95950195,70,0,0
224.0,13739.5978707,-2297.71587448,70,0,0
225.0,13853.8509981,-2150.67717176,70,0,0
225.0,13805.1717577,-2212.95950195,70,0,0
226.0,13899.9100646,-2091.25302882,70,0,0
226.0,13853.8509981,-2150.67717176,70,0,0
227.0,13946.3292985,-2032.62057774,70,0,0
227.0,13899.9100646,-2091.25302882,70,0,0
228.0,13909.4465891,-1908.92916084,60,0,0
228.0,13992.7553433,-1972.09288075,60,0,0
229.0,15141.9959968,-2818.32381465,53,0,0
229.0,15111.270186,-2854.04270989,53,0,0
230.0,15059.9654789,-2847.29328801,53,0,0
230.0,15093.3425509,-2875.01243762,53,0,0
231.0,15205.5830608,-2786.24043073,53,0,0
231.0,15176.741357,-2836.69751516,53,0,0
232.0,15176.741357,-2836.69751516,61,0,0
232.0,15109.8317535,-2956.15410336,61,0,0
233.0,15202.6268549,-2747.28808445,53,0,0
233.0,15184.9173415,-2767.93652772,53,0,0
234.0,15168.5973924,-2717.75341758,61,0,0
234.0,15150.6789211,-2738.99206037,61,0,0
235.0,15150.6789211,-2738.99206037,61,0,0
235.0,15077.1894014,-2825.75181721,61,0,0
236.0,15077.1894014,-2825.75181721,61,0,0
236.0,15059.9654789,-2847.29328801,61,0,0
237.0,15059.9654789,-2847.29328801,61,0,0
237.0,15042.9569312,-2866.752424,61,0,0
238.0,15141.9959968,-2818.32381465,53,0,0
238.0,15176.741357,-2836.69751516,53,0,0
239.0,15184.9173415,-2767.93652772,61,0,0
239.0,15205.5830608,-2786.24043073,61,0,0
240.0,15114.4878229,-2671.51695435,61,0,0
240.0,15168.5973924,-2717.75341758,61,0,0
241.0,15168.5973924,-2717.75341758,61,0,0
241.0,15202.6268549,-2747.28808445,61,0,0
242.0,15202.6268549,-2747.28808445,61,0,0
242.0,15254.0252643,-2790.22108371,61,0,0
243.0,15114.4878229,-2671.51695435,61,0,0
243.0,15095.5687069,-2692.94216479,61,0,0
244.0,15184.3608364,-2595.58862535,61,0,0
244.0,15114.4878229,-2671.51695435,61,0,0
245.0,15068.2026173,-2636.22477919,61,0,0
245.0,15080.1992631,-2641.84311521,61,0,0
